구분,일련번호,제목,등록일,URL 주소
입찰,1284,기술보증기금 부산회생관리센터 내장공사,2014-11-27 9:46,http://kibo.or.kr/src/about/kbe840_view.asp?num=1284
입찰,1283,기술보증기금 서울 동부회생관리센터 내장공사,2014-11-20 17:35,http://kibo.or.kr/src/about/kbe840_view.asp?num=1283
입찰,1282,업무용 차량 입찰공고(구미지점),2014-11-19 17:51,http://kibo.or.kr/src/about/kbe840_view.asp?num=1282
입찰,1281,기술보증기금 서울 서부회생관리센터 내장공사,2014-11-19 17:48,http://kibo.or.kr/src/about/kbe840_view.asp?num=1281
입찰,1279,2014년 기술보증기금 직원 단체상해보험 가입,2014-11-19 9:47,http://kibo.or.kr/src/about/kbe840_view.asp?num=1279
입찰,1278,업무용 차량 입찰공고(의정부지점),2014-11-14 10:06,http://kibo.or.kr/src/about/kbe840_view.asp?num=1278
입찰,1277,2014년 기술보증기금 사보 제작업체 선정,2014-11-12 17:31,http://kibo.or.kr/src/about/kbe840_view.asp?num=1277
입찰,1276,2014년 기술보증기금 직원 단체상해보험 가입,2014-11-11 16:18,http://kibo.or.kr/src/about/kbe840_view.asp?num=1276
입찰,1275,(긴급)전산 재해복구센터 위탁사업자 선정,2014-11-11 16:08,http://kibo.or.kr/src/about/kbe840_view.asp?num=1275
입찰,1273,기술보증기금 대전회생관리센터 내장공사,2014-11-06 18:43,http://kibo.or.kr/src/about/kbe840_view.asp?num=1273
입찰,1272,기술보증기금 인력개발원 영선공사(부대토목공사),2014-11-06 18:36,http://kibo.or.kr/src/about/kbe840_view.asp?num=1272
입찰,1269,업무용 차량 매각공고,2014-10-30 14:47,http://kibo.or.kr/src/about/kbe840_view.asp?num=1269
입찰,1266,시스템접근 2채널 전화인증시스템 구축,2014-10-15 18:00,http://kibo.or.kr/src/about/kbe840_view.asp?num=1266
입찰,1261,기술보증기금 비전자기록물 전수조사 및 서고정리 사업,2014-09-23 16:46,http://kibo.or.kr/src/about/kbe840_view.asp?num=1261
입찰,1259,(긴급) 기보인시스템 유지관리 용역 사업,2014-09-15 14:22,http://kibo.or.kr/src/about/kbe840_view.asp?num=1259
입찰,1255,기술평가등급모형의 기술적 파급효과 계량화와 Peer Group 분석개선,2014-09-01 10:03,http://kibo.or.kr/src/about/kbe840_view.asp?num=1255
입찰,1253,대내외 성과관리체계 고도화,2014-08-20 16:48,http://kibo.or.kr/src/about/kbe840_view.asp?num=1253
입찰,1252,기술보증기금 고객센터 업무위탁 용역,2014-08-07 11:19,http://kibo.or.kr/src/about/kbe840_view.asp?num=1252
입찰,1250,2014년 기금 기술금융 지원사업의 종합성과분석,2014-07-30 16:50,http://kibo.or.kr/src/about/kbe840_view.asp?num=1250
입찰,1242,(긴급)인터넷 망분리 구축,2014-06-30 18:02,http://kibo.or.kr/src/about/kbe840_view.asp?num=1242
입찰,1236,"전산단말장치(PC본체, 노트북 등) 매각",2014-06-20 17:13,http://kibo.or.kr/src/about/kbe840_view.asp?num=1236
입찰,1234,기술보증기금 서울기술융합센터 내장공사,2014-06-12 13:39,http://kibo.or.kr/src/about/kbe840_view.asp?num=1234
입찰,1233,인천중앙기술평가센터 사옥 리모델링 폐기물처리용역,2014-06-05 16:42,http://kibo.or.kr/src/about/kbe840_view.asp?num=1233
입찰,1232,인천중앙기술평가센터 사옥 리모델링 통신공사,2014-06-05 16:21,http://kibo.or.kr/src/about/kbe840_view.asp?num=1232
입찰,1231,인천중앙기술평가센터 사옥 리모델링 전기공사,2014-06-05 16:05,http://kibo.or.kr/src/about/kbe840_view.asp?num=1231
입찰,1230,인천중앙기술평가센터 사옥 리모델링 건축공사,2014-06-05 15:34,http://kibo.or.kr/src/about/kbe840_view.asp?num=1230
입찰,1229,서버 운영체제 자동백업시스템 구축,2014-06-02 16:55,http://kibo.or.kr/src/about/kbe840_view.asp?num=1229
입찰,1226,기술보증기금 안양기술평가센터 이전 내장공사,2014-05-22 10:31,http://kibo.or.kr/src/about/kbe840_view.asp?num=1226
입찰,1225,(재공고)기술보증기금의 매출채권보험 활성화 기여 방안 연구,2014-05-21 16:31,http://kibo.or.kr/src/about/kbe840_view.asp?num=1225
입찰,1221,(재공고)서버 운영체제 자동백업시스템 구축,2014-05-09 17:55,http://kibo.or.kr/src/about/kbe840_view.asp?num=1221
입찰,1219,기술보증기금의 매출채권보험 활성화 기여 방안 연구,2014-05-07 18:06,http://kibo.or.kr/src/about/kbe840_view.asp?num=1219
입찰,1217,하계 단체근무복(반팔 폴로(카라)티셔츠류) 입찰공고,2014-04-30 11:13,http://kibo.or.kr/src/about/kbe840_view.asp?num=1217
입찰,1216,하계 단체근무복(반팔 와이셔츠류(또는 남방류)) 입찰공고,2014-04-30 11:12,http://kibo.or.kr/src/about/kbe840_view.asp?num=1216
입찰,1214,기술보증기금 2014∼2016 회계연도 외부회계감사 용역,2014-04-21 14:04,http://kibo.or.kr/src/about/kbe840_view.asp?num=1214
입찰,1213,서버 운영체제 자동백업시스템 구축,2014-04-18 16:15,http://kibo.or.kr/src/about/kbe840_view.asp?num=1213
입찰,1211,2014년 고객만족도 및 직원만족도 조사업체 선정,2014-04-09 11:03,http://kibo.or.kr/src/about/kbe840_view.asp?num=1211
입찰,1210,(재공고)전자팩스시스템 구축,2014-04-08 16:20,http://kibo.or.kr/src/about/kbe840_view.asp?num=1210
